Dep_Airport,Arr_Airport,avg_duration,distance_type
ABE,ATL,126.0,Short Haul >1500Mi
ABE,BNA,132.0,Short Haul >1500Mi
ABE,CLT,101.0,Short Haul >1500Mi
ABE,DEN,234.0,Medium Haul <3000Mi
ABE,FLL,169.0,Short Haul >1500Mi
ABE,MLB,159.0,Short Haul >1500Mi
ABE,MYR,96.0,Short Haul >1500Mi
ABE,ORD,139.0,Short Haul >1500Mi
ABE,PGD,165.0,Short Haul >1500Mi
ABE,PIE,157.0,Short Haul >1500Mi
ABE,SFB,146.0,Short Haul >1500Mi
ABE,SRQ,162.0,Short Haul >1500Mi
ABI,DFW,54.0,Short Haul >1500Mi
ABQ,ATL,173.0,Short Haul >1500Mi
ABQ,AUS,98.0,Short Haul >1500Mi
ABQ,BUR,114.0,Short Haul >1500Mi
ABQ,BWI,211.0,Medium Haul <3000Mi
ABQ,DAL,95.0,Short Haul >1500Mi
ABQ,DEN,75.0,Short Haul >1500Mi
ABQ,DFW,104.0,Short Haul >1500Mi
ABQ,EWR,240.0,Medium Haul <3000Mi
ABQ,HOU,115.0,Short Haul >1500Mi
ABQ,IAD,209.0,Medium Haul <3000Mi
ABQ,IAH,123.0,Short Haul >1500Mi
ABQ,JFK,240.0,Medium Haul <3000Mi
ABQ,LAS,90.0,Short Haul >1500Mi
ABQ,LAX,123.0,Short Haul >1500Mi
ABQ,LGB,111.0,Short Haul >1500Mi
ABQ,MCI,107.0,Short Haul >1500Mi
ABQ,MCO,204.0,Medium Haul <3000Mi
ABQ,MDW,153.0,Short Haul >1500Mi
ABQ,MSP,144.0,Short Haul >1500Mi
ABQ,OAK,141.0,Short Haul >1500Mi
ABQ,ORD,164.0,Short Haul >1500Mi
ABQ,PDX,173.0,Short Haul >1500Mi
ABQ,PHX,75.0,Short Haul >1500Mi
ABQ,SAN,105.0,Short Haul >1500Mi
ABQ,SAT,90.0,Short Haul >1500Mi
ABQ,SEA,189.0,Short Haul >1500Mi
ABQ,SFO,148.0,Short Haul >1500Mi
ABQ,SLC,96.0,Short Haul >1500Mi
ABR,MSP,68.0,Short Haul >1500Mi
ABY,ATL,60.0,Short Haul >1500Mi
ACK,BOS,46.0,Short Haul >1500Mi
ACK,CLT,148.0,Short Haul >1500Mi
ACK,DCA,94.0,Short Haul >1500Mi
ACK,HPN,57.0,Short Haul >1500Mi
ACK,JFK,68.0,Short Haul >1500Mi
ACK,LGA,73.0,Short Haul >1500Mi
ACK,ORD,177.0,Short Haul >1500Mi
ACK,PHL,81.0,Short Haul >1500Mi
ACT,DFW,53.0,Short Haul >1500Mi
ACV,DEN,156.0,Short Haul >1500Mi
ACV,LAX,109.0,Short Haul >1500Mi
ACV,SFO,65.0,Short Haul >1500Mi
ACY,FLL,156.0,Short Haul >1500Mi
ACY,MCO,148.0,Short Haul >1500Mi
ACY,MYR,84.0,Short Haul >1500Mi
ACY,PBI,150.0,Short Haul >1500Mi
ACY,RSW,158.0,Short Haul >1500Mi
ACY,TPA,150.0,Short Haul >1500Mi
ADK,ANC,160.0,Short Haul >1500Mi
ADQ,ANC,55.0,Short Haul >1500Mi
AEX,ATL,98.0,Short Haul >1500Mi
AEX,DFW,79.0,Short Haul >1500Mi
AGS,ATL,57.0,Short Haul >1500Mi
AGS,AUS,170.0,Short Haul >1500Mi
AGS,BOS,140.0,Short Haul >1500Mi
AGS,CLT,63.0,Short Haul >1500Mi
AGS,DCA,94.0,Short Haul >1500Mi
AGS,DFW,165.0,Short Haul >1500Mi
AGS,DTW,111.0,Short Haul >1500Mi
AGS,LGA,120.0,Short Haul >1500Mi
AGS,MIA,100.0,Short Haul >1500Mi
AGS,ORD,128.0,Short Haul >1500Mi
AGS,PHL,109.0,Short Haul >1500Mi
AGS,PHX,270.0,Medium Haul <3000Mi
AKN,ANC,62.0,Short Haul >1500Mi
ALB,ATL,147.0,Short Haul >1500Mi
ALB,BNA,143.0,Short Haul >1500Mi
ALB,BWI,70.0,Short Haul >1500Mi
ALB,CLT,126.0,Short Haul >1500Mi
ALB,DCA,89.0,Short Haul >1500Mi
ALB,DEN,234.0,Medium Haul <3000Mi
ALB,DFW,244.0,Short Haul >1500Mi
ALB,DTW,100.0,Short Haul >1500Mi
ALB,EWR,65.0,Short Haul >1500Mi
ALB,FLL,189.0,Short Haul >1500Mi
ALB,LGA,57.0,Short Haul >1500Mi
ALB,MCO,174.0,Short Haul >1500Mi
ALB,MDW,125.0,Short Haul >1500Mi
ALB,MIA,207.5,Short Haul >1500Mi
ALB,MYR,125.0,Short Haul >1500Mi
ALB,ORD,142.0,Short Haul >1500Mi
ALB,PGD,193.0,Short Haul >1500Mi
ALB,PHL,68.5,Short Haul >1500Mi
ALB,PIE,179.0,Short Haul >1500Mi
ALB,SFB,166.0,Short Haul >1500Mi
ALB,TPA,179.0,Short Haul >1500Mi
ALO,ORD,66.0,Short Haul >1500Mi
ALW,SEA,68.0,Short Haul >1500Mi
AMA,AUS,73.0,Short Haul >1500Mi
AMA,DAL,65.0,Short Haul >1500Mi
AMA,DEN,84.0,Short Haul >1500Mi
AMA,DFW,72.0,Short Haul >1500Mi
AMA,HOU,90.0,Short Haul >1500Mi
AMA,IAH,103.0,Short Haul >1500Mi
AMA,LAS,126.0,Short Haul >1500Mi
ANC,ADK,181.0,Short Haul >1500Mi
ANC,ADQ,58.0,Short Haul >1500Mi
ANC,AKN,64.0,Short Haul >1500Mi
ANC,ATL,409.0,Long Haul <6000Mi
ANC,BET,77.0,Short Haul >1500Mi
ANC,BRW,113.0,Short Haul >1500Mi
ANC,CDV,52.0,Short Haul >1500Mi
ANC,DEN,308.0,Medium Haul <3000Mi
ANC,DFW,381.5,Long Haul <6000Mi
ANC,DLG,70.0,Short Haul >1500Mi
ANC,EWR,413.0,Long Haul <6000Mi
ANC,FAI,60.0,Short Haul >1500Mi
ANC,HNL,364.0,Medium Haul <3000Mi
ANC,IAH,401.0,Long Haul <6000Mi
ANC,JNU,99.0,Short Haul >1500Mi
ANC,KOA,377.0,Medium Haul <3000Mi
ANC,LAS,308.0,Medium Haul <3000Mi
ANC,LAX,316.0,Medium Haul <3000Mi
ANC,MSP,316.0,Medium Haul <3000Mi
ANC,OGG,374.0,Medium Haul <3000Mi
ANC,OME,93.0,Short Haul >1500Mi
ANC,ORD,368.0,Medium Haul <3000Mi
ANC,OTZ,93.5,Short Haul >1500Mi
ANC,PDX,211.0,Medium Haul <3000Mi
ANC,PHX,330.0,Medium Haul <3000Mi
ANC,SCC,102.0,Short Haul >1500Mi
ANC,SEA,207.0,Short Haul >1500Mi
ANC,SFO,273.0,Medium Haul <3000Mi
ANC,SLC,269.0,Medium Haul <3000Mi
APN,DTW,59.0,Short Haul >1500Mi
APN,PLN,35.0,Short Haul >1500Mi
ASE,ATL,191.0,Short Haul >1500Mi
ASE,AUS,135.0,Short Haul >1500Mi
ASE,DEN,61.0,Short Haul >1500Mi
ASE,DFW,126.0,Short Haul >1500Mi
ASE,IAH,153.0,Short Haul >1500Mi
ASE,LAX,136.0,Short Haul >1500Mi
ASE,ORD,164.0,Short Haul >1500Mi
ASE,PHX,112.0,Short Haul >1500Mi
ASE,SFO,149.0,Short Haul >1500Mi
ATL,ABE,118.0,Short Haul >1500Mi
ATL,ABQ,196.0,Short Haul >1500Mi
ATL,ABY,52.0,Short Haul >1500Mi
ATL,AEX,99.0,Short Haul >1500Mi
ATL,AGS,52.0,Short Haul >1500Mi
ATL,ALB,129.0,Short Haul >1500Mi
ATL,ANC,442.0,Long Haul <6000Mi
ATL,ASE,231.0,Short Haul >1500Mi
ATL,ATW,125.0,Short Haul >1500Mi
ATL,AUS,140.0,Short Haul >1500Mi
ATL,AVL,51.0,Short Haul >1500Mi
ATL,BDL,130.0,Short Haul >1500Mi
ATL,BHM,46.5,Short Haul >1500Mi
ATL,BMI,100.0,Short Haul >1500Mi
ATL,BNA,61.0,Short Haul >1500Mi
ATL,BOI,264.0,Medium Haul <3000Mi
ATL,BOS,146.0,Short Haul >1500Mi
ATL,BQK,65.0,Short Haul >1500Mi
ATL,BTR,87.0,Short Haul >1500Mi
ATL,BTV,140.0,Short Haul >1500Mi
ATL,BUF,115.0,Short Haul >1500Mi
ATL,BWI,101.0,Short Haul >1500Mi
ATL,BZN,242.0,Medium Haul <3000Mi
ATL,CAE,54.0,Short Haul >1500Mi
ATL,CHA,44.0,Short Haul >1500Mi
ATL,CHO,87.0,Short Haul >1500Mi
ATL,CHS,66.0,Short Haul >1500Mi
ATL,CID,120.0,Short Haul >1500Mi
ATL,CLE,99.0,Short Haul >1500Mi
ATL,CLT,68.0,Short Haul >1500Mi
ATL,CMH,85.0,Short Haul >1500Mi
ATL,COS,184.0,Short Haul >1500Mi
ATL,CRW,77.0,Short Haul >1500Mi
ATL,CSG,43.0,Short Haul >1500Mi
ATL,CVG,78.0,Short Haul >1500Mi
ATL,DAB,73.0,Short Haul >1500Mi
ATL,DAL,128.0,Short Haul >1500Mi
ATL,DAY,83.0,Short Haul >1500Mi
ATL,DCA,100.0,Short Haul >1500Mi
ATL,DEN,194.0,Short Haul >1500Mi
ATL,DFW,139.0,Short Haul >1500Mi
ATL,DHN,56.0,Short Haul >1500Mi
ATL,DSM,125.0,Short Haul >1500Mi
