Dep_Airport,LATITUDE,LONGITUDE,Average_Delay
SBN,41.70895,-86.31847,10.54
PIA,40.66424,-89.69331,11.43
ORD,41.9796,-87.90446,8.06
ABI,32.41132,-99.6819,1.48
JAN,32.31117,-90.07589,-1.19
JNU,58.35496,-134.57628,0.51
FLG,35.13845,-111.67122,-1.4
DAY,39.90238,-84.21938,2.8
BTM,45.9548,-112.49746,-19.93
COD,44.52019,-109.0238,102.75
BQN,18.49486,-67.12944,26.95
TRI,36.47521,-82.40742,-0.03
YAK,59.50336,-139.66023,-6.34
PNS,30.47331,-87.18744,7.87
HOU,29.64542,-95.27889,5.28
CVG,39.04614,-84.66217,6.11
LCH,30.1261,-93.2234,23.5
HDN,40.48118,-107.21766,11.42
FAT,36.77619,-119.71814,7.91
EWN,35.07297,-77.04294,-9.76
AEX,31.32737,-92.54856,0.91
IAH,29.98047,-95.33972,10.96
FAI,64.81368,-147.85967,3.2
BTR,30.53316,-91.14963,4.47
HLN,46.60682,-111.98275,-3.0
BDL,41.93887,-72.68323,9.44
GUC,38.53396,-106.93318,12.22
OTH,43.41714,-124.24603,11.57
BGM,42.0,-75.15,20.76
MSP,44.88055,-93.21692,0.29
RHI,45.63119,-89.46745,-14.75
PHX,33.43417,-112.00806,4.97
PBI,26.68316,-80.09559,13.43
MTJ,38.50887,-107.89383,14.74
PIB,31.46715,-89.33706,19.68
BRD,46.39786,-94.13723,9.67
BUR,34.20062,-118.3585,2.28
CHA,35.03527,-85.20379,9.81
BMI,40.47799,-88.91595,0.08
BWI,39.1754,-76.6682,10.2
BGR,44.80744,-68.82814,8.57
ASE,39.22316,-106.86885,18.82
PDX,45.58872,-122.5975,4.58
PGD,26.9298,-82.0454,10.82
LIT,34.7294,-92.22425,8.88
LSE,43.87938,-91.25654,8.34
SFO,37.619,-122.37484,7.2
MBS,43.53291,-84.07965,11.26
KTN,55.35557,-131.71374,-1.57
GCK,37.92752,-100.72441,4.36
EGE,39.64257,-106.9177,18.48
RAP,44.04532,-103.05737,4.87
SWF,41.50409,-74.10484,10.11
PSM,43.077,-70.7577,31.77
OTZ,66.88468,-162.59855,-6.71
GCC,44.3489,-105.53936,15.18
MHT,42.93452,-71.43706,4.85
KOA,19.73877,-156.04563,-1.03
SLN,38.8403,-97.6114,33.57
FAY,34.99147,-78.88,8.6
SCK,37.9577,-121.2908,28.97
HNL,21.31869,-157.92241,2.8
SJT,31.35775,-100.49631,-1.13
ATW,44.25741,-88.51948,9.81
AVL,35.4333,-82.0333,12.54
ITH,42.49103,-76.45844,7.05
LBE,40.27594,-79.4048,46.1
CMI,40.03925,-88.27806,6.15
FWA,40.97847,-85.19515,13.16
TUS,32.11608,-110.94103,4.36
ISP,40.79524,-73.10021,3.05
MKE,42.94722,-87.89658,9.31
SAT,29.53369,-98.46978,6.08
HTS,38.3667,-82.55,35.58
CPR,42.90836,-106.46447,3.96
PBG,44.699,-73.4529,14.56
PIT,40.49147,-80.23287,1.02
BHM,33.56294,-86.75355,7.23
MYR,33.67975,-78.92833,7.77
BLI,48.79275,-122.53753,6.24
IMT,45.81835,-88.11454,37.71
CLE,41.41089,-81.8494,5.82
CAE,33.93884,-81.11954,7.71
CRW,38.37315,-81.59319,16.81
ACY,39.3642,-74.4231,4.61
OME,64.5122,-165.44525,-1.08
COU,38.81809,-92.21963,3.98
ITO,19.72026,-155.04847,5.65
BRW,71.28545,-156.766,17.59
DIK,46.79739,-102.80195,3.36
DLG,59.04541,-158.50334,11.67
LCK,40.0,-82.05,22.73
PHL,39.87195,-75.24114,7.47
MAF,31.94253,-102.20191,5.04
PUB,38.28909,-104.49657,-17.0
ERI,42.08202,-80.17622,11.1
TPA,27.97547,-82.53325,6.34
GRK,31.0649,-97.8278,9.83
SEA,47.44898,-122.30931,5.19
CDV,60.49183,-145.47765,-0.93
BJI,47.50942,-94.93372,7.54
