airport_id,month,tavg,prcp,wspd,pres
ABE,1,3.81,3.34,11.19,1015.65
ABE,2,2.7,0.95,11.21,1017.6
ABE,3,4.73,2.28,14.07,1015.65
ABE,4,12.43,5.08,13.03,1016.19
ABE,5,15.38,0.2,9.85,1016.68
ABE,6,19.65,3.37,10.8,1011.01
ABE,7,24.15,5.14,8.34,1012.95
ABE,8,22.02,3.92,9.08,1013.55
ABE,9,18.6,3.41,10.14,1017.94
ABE,10,13.4,1.35,8.78,1014.63
ABE,11,5.05,2.47,9.78,1020.37
ABE,12,4.27,7.07,9.13,1019.88
ABI,1,10.23,0.6,18.19,1017.26
ABI,2,9.86,1.24,18.8,1017.8
ABI,3,14.64,0.86,19.31,1014.25
ABI,4,18.34,1.17,19.19,1013.15
ABI,5,22.89,4.39,16.05,1012.46
ABI,6,27.43,3.43,14.45,1008.82
ABI,7,30.72,1.47,15.23,1012.98
ABI,8,32.41,0.36,14.81,1012.27
ABI,9,28.41,2.06,15.25,1012.63
ABI,10,19.86,2.43,16.19,1015.42
ABI,11,13.59,0.11,14.6,1018.86
ABI,12,10.74,1.18,15.5,1019.55
ABQ,1,2.69,0.25,12.85,1017.83
ABQ,2,3.83,0.29,12.99,1017.63
ABQ,3,7.76,0.44,16.0,1013.6
ABQ,4,13.62,0.0,16.42,1011.96
ABQ,5,19.67,0.55,15.95,1010.91
ABQ,6,24.24,0.0,14.23,1009.09
ABQ,7,29.8,0.0,14.12,1011.32
ABQ,8,26.34,0.57,14.57,1014.05
ABQ,9,22.68,1.04,11.2,1013.62
ABQ,10,16.37,0.0,12.43,1014.11
ABQ,11,8.22,0.85,10.53,1019.34
ABQ,12,4.11,0.83,10.85,1021.32
ABR,1,-10.03,0.28,14.87,1018.85
ABR,2,-9.26,0.72,18.72,1016.81
ABR,3,-7.41,1.9,20.22,1019.97
ABR,4,2.79,1.42,19.55,1014.91
ABR,5,17.67,1.25,17.02,1015.05
ABR,6,23.32,2.8,13.02,1011.04
ABR,7,21.82,1.33,12.45,1013.85
ABR,8,21.99,5.5,12.82,1013.73
ABR,9,18.35,2.69,11.79,1014.24
ABR,10,8.87,1.16,17.52,1016.54
ABR,11,1.39,0.22,14.22,1018.08
ABR,12,-1.26,1.78,15.9,1017.51
ABY,1,12.37,5.09,8.93,1020.55
ABY,2,15.76,2.11,10.63,1020.64
ABY,3,16.73,2.13,10.78,1018.7
ABY,4,19.64,2.86,10.82,1016.84
ABY,5,22.38,1.93,9.88,1016.04
ABY,6,25.42,10.45,9.0,1012.15
ABY,7,27.59,6.1,6.79,1016.2
ABY,8,28.36,3.69,7.5,1014.58
ABY,9,24.53,2.14,8.06,1016.33
ABY,10,19.04,1.04,8.78,1016.88
ABY,11,14.04,1.59,9.21,1020.61
ABY,12,11.17,3.79,9.64,1021.65
ACK,1,5.42,5.07,20.97,1013.91
ACK,2,2.73,3.12,22.16,1016.54
ACK,3,4.85,2.38,23.77,1013.23
ACK,4,9.41,2.44,19.23,1017.2
ACK,5,12.53,1.28,20.44,1016.11
ACK,6,16.07,3.56,15.73,1011.46
ACK,7,21.16,2.96,14.98,1013.62
ACK,8,20.26,3.54,16.77,1013.55
ACK,9,18.43,7.09,18.19,1017.28
ACK,10,14.39,2.54,18.63,1013.4
ACK,11,7.54,1.32,19.75,1018.88
ACK,12,6.22,2.62,19.56,1018.82
ACT,1,11.37,1.76,14.51,1018.58
ACT,2,11.85,3.91,16.55,1018.96
ACT,3,16.88,1.81,17.51,1015.74
ACT,4,18.29,5.25,15.71,1014.76
ACT,5,23.45,5.61,10.83,1013.99
ACT,6,28.74,1.65,13.4,1009.92
ACT,7,31.68,0.17,13.87,1014.27
ACT,8,32.81,0.31,13.37,1013.08
ACT,9,28.94,2.81,12.73,1013.85
ACT,10,20.45,7.92,14.06,1016.32
ACT,11,14.12,1.17,12.25,1020.11
ACT,12,11.36,2.25,11.99,1020.86
ACV,1,8.91,8.01,13.49,1016.06
ACV,2,6.11,6.45,9.49,1019.34
ACV,3,6.88,9.04,11.58,1016.06
ACV,4,8.99,3.43,9.35,1020.52
ACV,5,11.03,1.38,9.9,1016.37
ACV,6,12.64,0.09,9.42,1016.7
ACV,7,14.81,0.01,9.21,1017.43
ACV,8,15.87,0.1,7.68,1016.09
ACV,9,14.41,2.14,8.37,1016.0
ACV,10,12.46,2.43,6.46,1016.45
ACV,11,10.57,4.61,6.94,1018.88
ACV,12,10.34,8.6,8.73,1018.26
ACY,1,6.15,3.07,13.97,1015.79
ACY,2,5.56,1.59,14.44,1017.8
ACY,3,6.74,1.92,16.72,1015.46
ACY,4,13.8,5.52,14.3,1016.46
ACY,5,15.3,1.07,12.42,1016.79
ACY,6,20.01,2.27,12.98,1011.08
ACY,7,25.73,4.29,9.46,1013.3
ACY,8,23.73,1.8,10.95,1013.61
ACY,9,20.86,6.15,12.63,1016.92
ACY,10,15.34,1.31,10.04,1014.56
ACY,11,7.27,2.57,11.19,1020.39
ACY,12,6.1,5.45,11.65,1019.95
ADK,1,1.09,6.07,20.89,993.53
ADK,2,1.35,4.88,31.21,1002.79
ADK,3,2.52,3.97,23.25,1019.38
ADK,4,3.58,1.4,24.69,1012.83
ADK,5,4.63,1.79,19.84,1014.85
ADK,6,7.08,2.52,18.72,1005.92
ADK,7,11.34,2.3,22.25,1015.56
ADK,8,10.82,1.36,19.96,1010.45
ADK,9,10.6,2.9,23.56,1013.96
ADK,10,6.82,4.12,19.48,1010.87
ADK,11,5.01,8.09,30.23,1003.53
ADK,12,0.86,2.53,22.26,1000.51
ADQ,1,1.54,6.05,14.58,997.65
ADQ,2,-0.2,3.33,15.25,1004.85
ADQ,3,0.46,1.46,19.2,1011.24
ADQ,4,2.36,1.62,17.66,1006.67
ADQ,5,6.21,8.73,18.57,1009.57
ADQ,6,9.79,6.1,15.33,1011.29
ADQ,7,12.4,5.02,11.81,1016.95
ADQ,8,12.95,3.93,11.1,1012.02
ADQ,9,9.57,2.62,13.36,1004.9
ADQ,10,6.11,4.25,16.31,1009.47
ADQ,11,2.74,6.48,16.3,999.85
ADQ,12,-2.22,5.01,15.97,993.05
AEX,1,12.74,6.79,7.96,1018.78
AEX,2,14.38,2.76,8.57,1019.16
AEX,3,17.21,2.7,8.29,1016.98
AEX,4,18.4,3.72,7.69,1015.3
AEX,5,23.3,0.74,5.2,1014.52
AEX,6,27.51,0.14,6.42,1010.89
AEX,7,28.86,1.58,6.42,1015.38
AEX,8,31.08,0.17,8.11,1013.2
AEX,9,26.34,0.79,4.44,1014.32
AEX,10,20.19,0.78,6.44,1016.07
AEX,11,13.39,2.19,4.84,1019.81
AEX,12,10.46,2.63,5.0,1020.73
AGS,1,10.16,5.56,9.05,1019.18
AGS,2,13.46,4.61,9.24,1019.49
AGS,3,14.12,3.42,9.65,1017.71
AGS,4,17.36,5.55,9.08,1016.52
AGS,5,20.04,2.88,9.8,1015.66
AGS,6,23.5,5.23,7.79,1010.97
AGS,7,26.93,6.25,6.37,1014.65
AGS,8,26.64,5.63,6.79,1013.83
AGS,9,22.36,4.43,5.19,1016.21
AGS,10,17.15,3.58,6.46,1016.26
AGS,11,11.68,1.63,6.61,1020.32
AGS,12,9.55,3.62,7.65,1020.79
AKN,1,-4.14,0.85,11.88,997.15
AKN,2,-6.02,1.34,14.72,1005.16
AKN,3,-5.1,0.52,15.19,1013.92
